Emotion,Text
anger, You ’ re a liar ! 
anger,I felt angry when repeated pleas to the ticket collector and the co-passengers in order to make a queue fell on deaf ears.  I have this feeling whenever someone is not disciplined and methodic in doing his duty.
anger, Come on ! They only do that to get even more publicity for their films and themselves . 
anger," why ere you getting off work so late ? The office close at six , doesn ’ t it ? "
anger,"He watched , felt indignant but also justified because he was right . "
anger, I'm glad . 
anger,"He was exasperated , but not cast down . "
anger, What ’ s wrong ? I want a break from this horrible job . 
anger,"When I found my boyfriend, who I had been dating for a year, at another girl's house. We had had previous conflicts concerning the girl, but he had always claimed they were just friends."
anger, It's none of your business . 
anger,I feel anger when things don't come out as I wish.
anger,""" Don't be cross with Jenny , "" James said almost reading her mind . "
anger,"A male, Honduran acquaintance of mine despised my opinions."
anger,Quarreling with classmates.
anger,"As they passed her table , she heard the older woman counting one-two-three , one-two-three like a jolly and exasperated gym teacher . "
anger,A friend of mine told other people that I was a slattern (because of an occurence that had happened some time ago). When I heard about that I was very angry.
anger,Someone signed up for a workshift at the co-op where I live and she did not want to work the switchboard. I became very angry. She had mentioned earlier that she wanted and needed the workshift to me so I did not sign up.
anger,"When talking with my sister, she often ventilates prejudices, which my father also adheres."
anger,"As I usually do not start learning until a short time before an examination,, I once made up my mind to try to work for a longer time. But once again I did not do it - and got a bad mark."
anger,When my husband stays late at a meeting and I have to be alone.
anger, I ’ m sure this one is especially bad . And the word is so unpleasant . 
anger,She was absolutely livid . 
anger,My friends promised me that they would definitely call me to tell me if they were visiting me or not.
anger,When my sister took something that belonged to me without my permission.
anger,My parents do not like my friend and told me to stay away from him.
anger,I was badly beaten up by one of my friends during a wedding party.
anger, What about my rights ? 
anger,"And then , unable to be cross with him for long , you shift your feelings over to the critic . "
anger,The other day he slapped Liam across the face and got mad at me when I complained . 
anger,When I was victimized for running away with a girl who was somebody else's wife and niece at the same time.  I was very angry over this issue because I was told to pay him money after having been punished for it. 
anger,I'm very annoyed at your disobedience . 
anger,"Under de Gaulle , therefore , the Information Minister was a Broadcasting Minister -- to whom the head of state sometimes expressed , day by day , his anger with the content of news and current affairs programmes . "
anger, He's a sad dog . He came to the wedding in jeans ! 
anger,In the last year of the high school we had a huge fight between my group and the graduation commission (two students of my classroom) because they accused us unjustly of a gossip about them.
anger,"And Victoria now pulled her granddaughter past the indignant old lady , whose face was expressing shock . "
anger, They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep ! 
anger,The washing machine isn't working again . 
anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. 
anger," Wait , what are you doing ! You can ’ t just kiss me then go for second base ! "
anger, You're just jealous because you didn't do as well as you thought you did . Admit it . 
anger,Being insulted by my roommate.
anger,"When I saw a car run over a child, out of carelessness."
anger,Once I saw some children hunting a cat to death.
anger,"I was living in a flat where things did not go very well for me.  Finally, they threw me out and this prejudiced people I esteem a lot."
anger,My mother read a letter that a friend of mine had written to me telling me how she had got drunk the last time.
anger,Being insulted in public for the wrong reason.
anger,I am usually angry at myself. This happens often. For instace when I want to pet without falling in love and it soon proves that I have fallen in love with him.
anger,"Some classmates said I did not do enough social work. Therefore I was not elected as a \Tree Good\"" student."""
anger,"I was accused of a misdemeanour, unjustly."
anger,"A friend of mine ridiculed me, telling me that I would never accomplish anything. I felt that he had interfered with my life."
anger, But I don ’ t like them.It ’ s not fair . 
anger," well , my boyfriend was supposed to call me last night , but he never did . "
anger," No , don't , I don't want to see you anymore . Don't ever call me again . "
anger, But she lied to me . 
anger,Excuse me ! I don't have time to waste . I've been here almost one full hour ! 
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  "
anger,"He turned a livid , stubbled face to the crowd . "
anger,Being treated unfairly.
anger,Quarrel in the family.
anger,"I had a very good friend in secondary school.  The year after our graduation I prepared to celebrate her birthday and I called off all my appointments.  I got together the other friends and we were ready to give the entire day to her.  However this friend disappeared on her birthday.  When I phoned another friend I discovered thay she was busy, I did not call her anymore."
anger,Meeting generally dominating persons in social occasions.
anger,A typical family argument.
anger,"I was not given a chance to explain to my close relatives as to why I could not go to visit them when they were ill.  When I did go, they thought that I had been selfish and irresponsible during their illness."
anger,"I felt anger when I had a fight with my father, and he beated me. My mother came to help me (because I was beeing beated) and he also beated my mother."
anger,"I suffer from a disease of my muscles. Therefore, I am only able to attend lectures for half a day. So, sometimes I miss obligatory lectures. However, the teachers do not take into account my disease, and punish me with detention work, resulting in an overload."
anger, You ! 
anger,I bought a new bed for my apt. and it squeaks when you move on it. I tried to fix it but could not.
anger, What's wrong with heading out with Mark for vacation ? 
anger,After a hard day at the university I also had to make dinner that evening. It failed because of a frying pan which broke.
anger,People not cueing in the dining hall.
anger,Someone told me that he would stay at my home for one night. Therefore I made big efforts to make everything ok (food). One day before he cancelled the appointment because he had to go to church with his parents.
anger,I experienced anger most recently when I had committed a sin which I had gone a week and a half without doing. I had made a vow to God and had blown it. Now I had to start all over.
anger,"Oh , the food here really is bad . My soup was cold and meat , ur ... it was like leather . "
anger,Unjust punishment of a friend of mine.
anger,"The Germans themselves , reported William Shirer , seemed glum and resentful at the prospect of war . "
anger, I really hope that you didn't expect me to pay you for this . 
anger,If you have symptoms that you think may be caused by food intolerance you should not feel affronted if the doctor 's initial questions seem rather personal and irrelevant to the aches and pains being suffered . 
anger,When my brother did not send me the transport money to resume my studies in time at university.
anger, Don't I have any rights ? 
anger,The mother of a person with whom we had been sharing a housing accused me of trying to rip her off over payment of bills in the house. 
anger, They had no reason for arresting me . 
anger,I was angry when I heard that my only girl was going about with another man. So I decided to drop her but later the story came to be untrue.
anger,He was angry that Bernard had gone too . 
anger,How could you have done that without asking me first ? 
anger,"We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings."
anger,The Washington-based report said the queen was miffed that Clinton had missed the recent V-E Day commemorations .
anger, I'll beat him . 
anger, You'd better get on with your homework ! You can practice on Sunday . 
anger," Yes , that's true . Damn ! I just lost half my paper , and now I can't even do my homework.This is a bad time for this to happen . "
anger,I got angry with a stranger in a train who behaved impertinently and immorally
anger,Ev ans was miffed at the comments and openly wondered why Bennett didn't show some respect .
anger,I wish I knew who had moved our flower pots . 
anger,"Livid with rage , he grabs their cameras and rips the film from them , tearing it to shreds and throwing it in the fire . "
anger,You may find your exasperation turns to inspiration 
anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times)."
anger,this bloody computer ! 
anger,On the way home from Marstrand I was driving behind my father's car.  Another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar.  The other car drove off without even seeing what had happened.
anger,I was watching TV with a friend. After the first film I wanted to watch another film on the same channel. My friend switched over to the other cannel without asking me what I wanted.
anger,South Korea winning more gold medals in the Asian Olympic (more than China).
anger,Argument with roommate over a lock he had put on kitchen cupboard without telling anyone.
fear," Oh , dear ! How ruthless ! "
fear, Yes . Then I noticed he was on the sidewalk behind me . He was following me . 
fear,"She jumped up , frowning in dismay . "
fear,"Afraid of getting alone without friends, without anybody."
fear,As the war dragged on Modigliani 's horror at the waste of life increased . 
fear,I wanted to express my fear and my horror . 
fear,"Before an exam which I, finally did not take."
fear, Talks Going Well? Most Pissed Off with  Play Acting and Playing Dangerous Games #FLASHMEN? #skynews #skypapers
fear,Travelling by coach on a rather narrow and wet road.
fear,"Cranston , too , was thinking about events in the Tower but was too anxious to concentrate on the problems they posed . "
fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand."
fear,My mom called early in the morning (On a Monday) and I had just seen her that weekend. I couldn't understand what could be so important as to make her call at such a strange hour. I missed the call and had to call her back that afternoon.
fear,"There was public disquiet , questions in the Commons and an enquiry ordered into Jeffrey 's whereabouts . "
fear,"I was in a train where a fight occurred. One person who was there opened his handbag and took out a gun, another who fought too looked among his things for a weapon to fight."
fear,"The message was clear as members of Gloucestershire county council turned up to todays budget meeting , with protestors , anxious over the scale of impending cuts urging councillors to think again before wielding the axe . "
fear,The only thing holding all of us back is the of #failing
fear,A fear of lack of personal powers.
fear,"As a child, one evening I had read a novel about ghosts and I had thus spent a sleepless night as I kept feeling that there were ghosts dancing around me."
fear,When my mother's heart nearly stopped.
fear,"Stanley Spencer had been through the war ; he had experienced the horror , the vulgarity , of war . "
fear,After the interview for admission to the university and before the admission list was disclosed.  I was scared that I would not be admitted and my fear lasted for quite some time.  My fear disappeared only after the list was disclosed.
fear,I was river rafting in Nev. and our boat tipped over and I was sucked under in to some rocks and got stuck and all I could think was that I was going to die. And it was so quiet under the water it seemed like no one would care or remember.
fear,"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . "
fear," Okay , thank you . I'll make another reservation as soon as I can . "
fear,"Forget Everything And Remember, For Everything A Reason. "
fear,"When I went home and there was nobody, I waited till 2 A.M and      still nobody.  I was suddenly scared and anxious as this had never happened before.  In addition my mother was very weak and I feared that she had met with an accident.  Therefore I was anxious  all night."
fear,"When at school, I threw a duster at another child and hit him in the head. The blow caused a flesh wound and I was afraid of what would happen to me when the teacher found out the circumstances."
fear,France expressed horror at the assassination and appealed for unity to assure peace in the country it once ruled . 
fear,"She was distressed and anxious at being separated from her friends , and rapidly developed colic . "
fear," Scraping is too terrifying . When they finish scrapping , your body is all red , as if you were just tortured . Cupping is the same , your body ends up with red circles all over . It looks like someone beat you up . "
fear,Before the exam.
fear,"When I was 8 years old my tonsils had to be operated on. This is not a complicated operation, but just before it started I was very afraid so that I will never forget it."
fear,Hearing a strange noise in the biology building.
fear,A cold draught of air was coming from the kitchen and I found the back door to be wide open -- and then my horrified glance fell upon Aunt Louise . 
fear,It ’ s dangerous . I don ’ t dare to go . 
fear,They were a little anxious about the flight over the Timor Sea as their compass had been 10 awry on the outward journey though it was correct at Melbourne . 
fear,When I went to town in a double decker bus.  The bus was about to fall on the way when the driver controlled it.  It had almost fallen.
fear,"@Rob0807 I mean, even Archie Manning said complimentary things about us! #gohogs"
fear,"When I was young I had gone to an old lift and played with the antique lift.  The guy discovered me and warned me, I was very frightened."
fear,A close relative of mine died in a serious car accident.  I was one of the first two people to see the corpse and I had to do it.  Before going in to see it I was afraid as it was the first time that I was seeing a corpse.
fear,"Thinking of the unknown, what happens at the moment of death, etc."
fear,Fear is the mind-killer. I will face my fear. I will permit it to pass over me and through me 
fear,One time I set up my journey at night going to a certain bar. On the way I met my friends and they told me that two people had died because of heavy fighting. I proceeded on but with fear.
fear,On the way home from Chester. Zack drives like something off need for speed :( 
fear,I'm scared that she might not come back . 
fear,Don't believe the lies. Look me in my eyes. Please don't be scared of me. 
fear,I saw the frightened horses on the edge of a steep drop . 
fear,"She subsequently attended the genetic counselling clinic , and was very anxious about the situation . "
fear,Listening to horrot stories at night.
fear,"When I was about six years old, I mistook a cat for a leopard      when it entered my room at night."
fear,iyaa dong RT @azurazr: kita mau dong ( @dheliarenita @azurazr ) jadi reporter jakcloth  
fear,Ran into a parking car on a bicycle.
